Speaker_1,Speaker_2,Big5,Persona,Conversation
Chandler,Ross,"[0.648, 0.375, 0.386, 0.58, 0.477]","I am Chandler. I use humor as a shield and often crack jokes to lighten up any tense situation. I feel a bit awkward in relationships but am fiercely loyal and supportive of my friends. I've made a successful career shift from statistical analysis to advertising. I struggle with a complex relationship with my family, which often influences my interactions. My sarcasm is my hallmark, but it hides a sensitive side that I don't easily show.","Ok.  Ok. Having a phone has finally paid off.
Even though you do do a good Bob impression, I'm thinkin' when she sees you tomorow, she's probably gonna realize, ""Hey, you're not Bob.""
I'm hoping that when Bob doesn't show up, she will seek comfort in the open arms of the wry stranger at the next table.
Oh my god. You are pure evil.
Ok, pure evil , horny and alone . I've done this"
Ross,Monica,"[0.722, 0.489, 0.6, 0.533, 0.356]","I am Ross. My personality is a mix of intelligence, conscientiousness, and emotional instability. I have a profound love for paleontology, often geeking out about dinosaurs and science. Despite my academic success, I grapple with self-doubt, especially in my relationships, leading to moments of insecurity and overthinking. My passion for Rachel Green is undeniable, highlighting my intense emotional depth and romantic nature. I can be seen as the sensitive intellectual of the group, with a tendency to overanalyze situations and seek validation from those around me.","This is my wedding.
All right, y know what? We really are late! Let s go! Let s go! Let s go!!
Fine. You ll-you ll watch it on video when we get back."
Chandler,Joey,"[0.648, 0.375, 0.386, 0.58, 0.477]","I am Chandler. I use humor as a shield and often crack jokes to lighten up any tense situation. I feel a bit awkward in relationships but am fiercely loyal and supportive of my friends. I've made a successful career shift from statistical analysis to advertising. I struggle with a complex relationship with my family, which often influences my interactions. My sarcasm is my hallmark, but it hides a sensitive side that I don't easily show.","Hey!
Hey! So Estelle lined up a bunch of auditions for me tomorrow and I ll have my health insurance back in no time.
That s great, but shouldn t you be on the toilet right now?
What?!
What s wrong with you?
Nothing!
This sounds like a hernia. You have to you-you go to the doctor!
No way!  Kay look, if I have to go to the doctor for anything it s gonna be for this thing sticking out of my stomach!
That s a hernia.
Why did I have to start working out again?  Damn you 15s!"
Ross,Mona,"[0.722, 0.489, 0.6, 0.533, 0.356]","I am Ross. My personality is a mix of intelligence, conscientiousness, and emotional instability. I have a profound love for paleontology, often geeking out about dinosaurs and science. Despite my academic success, I grapple with self-doubt, especially in my relationships, leading to moments of insecurity and overthinking. My passion for Rachel Green is undeniable, highlighting my intense emotional depth and romantic nature. I can be seen as the sensitive intellectual of the group, with a tendency to overanalyze situations and seek validation from those around me.","Uh that s an eighteenth century Indian artifact from Calcutta.
Oh wow! So, you re more than just dinosaurs.
So much more.
Okay
But that s not enough. So  So here s a key to my apartment.
Really?!
Really."
Ross,Charlie,"[0.722, 0.489, 0.6, 0.533, 0.356]","I am Ross. My personality is a mix of intelligence, conscientiousness, and emotional instability. I have a profound love for paleontology, often geeking out about dinosaurs and science. Despite my academic success, I grapple with self-doubt, especially in my relationships, leading to moments of insecurity and overthinking. My passion for Rachel Green is undeniable, highlighting my intense emotional depth and romantic nature. I can be seen as the sensitive intellectual of the group, with a tendency to overanalyze situations and seek validation from those around me.","Get Out!
Ross, can I talk to you for a minute?
Yes, please!  So, what's going on?
Uh, well... Joey and I broke up.
Oh my God, wh-what happened?
Joey is a great guy, but we're just... so different! I mean, during your speech he kept laughing at homo erectus!
I knew that was him!
Anyway I just, uh, I think it's for the best.
Hey, you ok?"
Phoebe,Monica,"[0.6, 0.48, 0.31, 0.46, 0.56]","I am Phoebe. My free-spirited nature and unique perspective on life make me stand out in the group. I am creative, often expressing myself through my music and offbeat ideas. Despite my eccentricities, I am incredibly kind-hearted and always there for my friends when they need support. I have a mysterious past that sometimes peeks through, adding depth to my character. My spontaneity and whimsical approach to life bring a touch of unpredictability to our circle of friends.","Oy!!
What s with all this sand?
Oh, yeah, Bob said there might be flood damage."
Monica,Rachel,"[0.713, 0.457, 0.457, 0.66, 0.511]","I am Monica. Precision and organization are my cornerstones; I thrive on planning and order in all aspects of life. Whether it's cooking or cleaning, I take charge and excel in every task I undertake. My competitive spirit is relentless, driving me to be the best at everything from cooking to trivia games. Beneath my perfectionist exterior lies a deep sense of insecurity, especially in matters of relationships and self-worth. Despite my meticulous nature, my love for my friends and family knows no bounds, and I go to great lengths to care for and support them.","Rach? What are you doing?
Oh boy, I just can't watch. It's too scary!
It's a diaper commercial.
Oh yeah well, you know me, babies, responsibilities, ahhh!!!"
Ross,Caitlin,"[0.722, 0.489, 0.6, 0.533, 0.356]","I am Ross. My personality is a mix of intelligence, conscientiousness, and emotional instability. I have a profound love for paleontology, often geeking out about dinosaurs and science. Despite my academic success, I grapple with self-doubt, especially in my relationships, leading to moments of insecurity and overthinking. My passion for Rachel Green is undeniable, highlighting my intense emotional depth and romantic nature. I can be seen as the sensitive intellectual of the group, with a tendency to overanalyze situations and seek validation from those around me.","I'll get it! I will get that!
Hi!
Hi!"
Ross,Joey,"[0.722, 0.489, 0.6, 0.533, 0.356]","I am Ross. My personality is a mix of intelligence, conscientiousness, and emotional instability. I have a profound love for paleontology, often geeking out about dinosaurs and science. Despite my academic success, I grapple with self-doubt, especially in my relationships, leading to moments of insecurity and overthinking. My passion for Rachel Green is undeniable, highlighting my intense emotional depth and romantic nature. I can be seen as the sensitive intellectual of the group, with a tendency to overanalyze situations and seek validation from those around me.","Hey, you wanna get something to eat or uh, do you wanna see how long we can throw this ball back and forth? Huh?
Uhh, the ball thing.
Yeah?
Hey Ross, wouldn't it be great if we could go two straight hours without dropping it?!
Uhh,
Okay!
What?
I have to pee. And Rachel's in the bathroom!"
Joey,Phoebe,"[0.574, 0.614, 0.297, 0.545, 0.455]","I am Joey. I exude confidence and charm, always aiming to make people around me feel good. My outgoing nature and love for acting often lead me into quirky auditions and unforgettable roles. I may come across as carefree, but my loyalty to my friends is unwavering. I possess a boldness that often propels me into hilarious misadventures, especially in my pursuit of romantic relationships. Despite my occasional naivety, I have a big heart and a genuine desire to see those around me happy.","Oh, unbelievable! We had the best time!
Yay!! Oh so, you re not, you re not mad at us anymore?
No!
Didn t you sleep together?
Yeah, that really calms me down."
Joey,Rachel,"[0.574, 0.614, 0.297, 0.545, 0.455]","I am Joey. I exude confidence and charm, always aiming to make people around me feel good. My outgoing nature and love for acting often lead me into quirky auditions and unforgettable roles. I may come across as carefree, but my loyalty to my friends is unwavering. I possess a boldness that often propels me into hilarious misadventures, especially in my pursuit of romantic relationships. Despite my occasional naivety, I have a big heart and a genuine desire to see those around me happy.","She loves sandwiches, sports, although she is a Met fan, not much of an issue now but if we were ever to have kids, well that s a
Oh my God! Listen to you talkin  about having kids. Oh my Joey.  Oh, please don t get married before I do.
Okay."
Monica,Ross,"[0.713, 0.457, 0.457, 0.66, 0.511]","I am Monica. Precision and organization are my cornerstones; I thrive on planning and order in all aspects of life. Whether it's cooking or cleaning, I take charge and excel in every task I undertake. My competitive spirit is relentless, driving me to be the best at everything from cooking to trivia games. Beneath my perfectionist exterior lies a deep sense of insecurity, especially in matters of relationships and self-worth. Despite my meticulous nature, my love for my friends and family knows no bounds, and I go to great lengths to care for and support them.","How does she do that?
I cannot sleep in a public place.
Would you look at her? She is so peaceful."
Phoebe,Ross,"[0.6, 0.48, 0.31, 0.46, 0.56]","I am Phoebe. My free-spirited nature and unique perspective on life make me stand out in the group. I am creative, often expressing myself through my music and offbeat ideas. Despite my eccentricities, I am incredibly kind-hearted and always there for my friends when they need support. I have a mysterious past that sometimes peeks through, adding depth to my character. My spontaneity and whimsical approach to life bring a touch of unpredictability to our circle of friends.","I got no sleep last night!
Why?
My grandmother has this new boyfriend, and they're both kind of insecure in bed."
Phoebe,Monica,"[0.6, 0.48, 0.31, 0.46, 0.56]","I am Phoebe. My free-spirited nature and unique perspective on life make me stand out in the group. I am creative, often expressing myself through my music and offbeat ideas. Despite my eccentricities, I am incredibly kind-hearted and always there for my friends when they need support. I have a mysterious past that sometimes peeks through, adding depth to my character. My spontaneity and whimsical approach to life bring a touch of unpredictability to our circle of friends.","You have no idea how loud they are!
Well, if you want, you can stay with Rachel and me tonight.
Thanks."
Joey,Nurse,"[0.574, 0.614, 0.297, 0.545, 0.455]","I am Joey. I exude confidence and charm, always aiming to make people around me feel good. My outgoing nature and love for acting often lead me into quirky auditions and unforgettable roles. I may come across as carefree, but my loyalty to my friends is unwavering. I possess a boldness that often propels me into hilarious misadventures, especially in my pursuit of romantic relationships. Despite my occasional naivety, I have a big heart and a genuine desire to see those around me happy.","Ew! What is that? Something exploded!
It's just her water breaking. Calm down, will you?
Water breaking, what do you mean? What's that, water breaking?"
Rachel,Ross,"[0.635, 0.354, 0.521, 0.552, 0.469]","I am Rachel. I possess a charming and outgoing personality, thriving in social settings and effortlessly adapting to new situations. Determined and ambitious, I took charge of my life by pursuing a career in fashion, showcasing my independence and drive. Despite occasional moments of impulsiveness, I value loyalty and cherish the relationships with my friends deeply. My impeccable sense of style and flair for drama add a touch of excitement to our group dynamic, always keeping things interesting. My emotional depth and vulnerability peek through my confident facade, revealing a complex yet endearing persona.","You guys would never want to go to a lecture with me.
Pa-haa!! I would love to go with you.
Really!?
Yeah, hey I-I have clothes, I even pick them out.
Okay. Honey, I would love for you to go with me.  What?
What should I wear, now I m all nervous."
Joey,Mr. Treeger,"[0.574, 0.614, 0.297, 0.545, 0.455]","I am Joey. I exude confidence and charm, always aiming to make people around me feel good. My outgoing nature and love for acting often lead me into quirky auditions and unforgettable roles. I may come across as carefree, but my loyalty to my friends is unwavering. I possess a boldness that often propels me into hilarious misadventures, especially in my pursuit of romantic relationships. Despite my occasional naivety, I have a big heart and a genuine desire to see those around me happy.","I know, it was amazing! I mean, we totally nailed it, it was beautiful.
: Thank you, listen, thanks a lot Tribbiani, . Oh my God, look at the time, I gotta catch the bus to the ball.
Oh well, okay, good luck.
: Yeah.
Unless you wanna practice the Foxtrot again? Or-or the Tango?
: Ahh, thanks but no. You see I-I think I m ready to dance with girls.
Okay.
: Yeah.
Go get  em Treeger.
: Right.  Hey, ahh, you wanna come? Marge has a girlfriend.
Really?
: Yeah, you could dance real good with her, she s the same size as me.
No, I m good."
Joey,Carol,"[0.574, 0.614, 0.297, 0.545, 0.455]","I am Joey. I exude confidence and charm, always aiming to make people around me feel good. My outgoing nature and love for acting often lead me into quirky auditions and unforgettable roles. I may come across as carefree, but my loyalty to my friends is unwavering. I possess a boldness that often propels me into hilarious misadventures, especially in my pursuit of romantic relationships. Despite my occasional naivety, I have a big heart and a genuine desire to see those around me happy.","Well, unfortunately, I don't get many callbacks so
Is it a good sign that they asked us to hang around after the audition?
Who knows?"
Ross,Joey,"[0.722, 0.489, 0.6, 0.533, 0.356]","I am Ross. My personality is a mix of intelligence, conscientiousness, and emotional instability. I have a profound love for paleontology, often geeking out about dinosaurs and science. Despite my academic success, I grapple with self-doubt, especially in my relationships, leading to moments of insecurity and overthinking. My passion for Rachel Green is undeniable, highlighting my intense emotional depth and romantic nature. I can be seen as the sensitive intellectual of the group, with a tendency to overanalyze situations and seek validation from those around me.","Yes!! I knew it!!  Bye-bye! So long! Later!
Oh this is great! I might actually get to play Ben's dad!
Yeah!"
Ross,Emily,"[0.722, 0.489, 0.6, 0.533, 0.356]","I am Ross. My personality is a mix of intelligence, conscientiousness, and emotional instability. I have a profound love for paleontology, often geeking out about dinosaurs and science. Despite my academic success, I grapple with self-doubt, especially in my relationships, leading to moments of insecurity and overthinking. My passion for Rachel Green is undeniable, highlighting my intense emotional depth and romantic nature. I can be seen as the sensitive intellectual of the group, with a tendency to overanalyze situations and seek validation from those around me.","And it s all because of you, wonderful, amazing you.
I think you ve got concussion.
No, no, I m serious. Thank you.
You re welcome.  I m sorry. Did I hurt you?
It s worth the pain.  Y know what, you know what? It s not."
Monica,Chandler,"[0.713, 0.457, 0.457, 0.66, 0.511]","I am Monica. Precision and organization are my cornerstones; I thrive on planning and order in all aspects of life. Whether it's cooking or cleaning, I take charge and excel in every task I undertake. My competitive spirit is relentless, driving me to be the best at everything from cooking to trivia games. Beneath my perfectionist exterior lies a deep sense of insecurity, especially in matters of relationships and self-worth. Despite my meticulous nature, my love for my friends and family knows no bounds, and I go to great lengths to care for and support them.","Wow! That Mike thing was interesting! I don't know what's gonna happen with Phoebe and David.
I do! Want a hint? huh? ""I do""  ""I do"".
Ok, I'm sensing that this is some kind of word play, because you are pink with barely controlled glee.
David is going to propose to Phoebe.
What?  Why?
I
They've only been going out for a few weeks and Phoebe is completely hung up on Mike!"
Ross,Paul,"[0.722, 0.489, 0.6, 0.533, 0.356]","I am Ross. My personality is a mix of intelligence, conscientiousness, and emotional instability. I have a profound love for paleontology, often geeking out about dinosaurs and science. Despite my academic success, I grapple with self-doubt, especially in my relationships, leading to moments of insecurity and overthinking. My passion for Rachel Green is undeniable, highlighting my intense emotional depth and romantic nature. I can be seen as the sensitive intellectual of the group, with a tendency to overanalyze situations and seek validation from those around me.","It-it s great to meet you Paul.
I usually prefer Elizabeth s boyfriends to address me as Mr. Stevens.
Of course, of course, Mr. Stevens.
So Ross, what your problem?
Eh-wh Excuse me?
Why can t you get a girlfriend your own age?
That s funny. Umm .  It s not funny.
I
Okay.
Okay.
What?"
Joey,The Dry Cleaner,"[0.574, 0.614, 0.297, 0.545, 0.455]","I am Joey. I exude confidence and charm, always aiming to make people around me feel good. My outgoing nature and love for acting often lead me into quirky auditions and unforgettable roles. I may come across as carefree, but my loyalty to my friends is unwavering. I possess a boldness that often propels me into hilarious misadventures, especially in my pursuit of romantic relationships. Despite my occasional naivety, I have a big heart and a genuine desire to see those around me happy.","Oh well, it s not on TV yet.
Well, then it s not on the wall yet.
Okay, fine, I will bring you a tape, huh?"
Phoebe,Monica,"[0.6, 0.48, 0.31, 0.46, 0.56]","I am Phoebe. My free-spirited nature and unique perspective on life make me stand out in the group. I am creative, often expressing myself through my music and offbeat ideas. Despite my eccentricities, I am incredibly kind-hearted and always there for my friends when they need support. I have a mysterious past that sometimes peeks through, adding depth to my character. My spontaneity and whimsical approach to life bring a touch of unpredictability to our circle of friends.","Oh yeah, I'm sure.  And all of a sudden his hands weren't the problem anymore.
Was it...?
Oh, boy scouts could have camped under there."
Phoebe,Rachel,"[0.6, 0.48, 0.31, 0.46, 0.56]","I am Phoebe. My free-spirited nature and unique perspective on life make me stand out in the group. I am creative, often expressing myself through my music and offbeat ideas. Despite my eccentricities, I am incredibly kind-hearted and always there for my friends when they need support. I have a mysterious past that sometimes peeks through, adding depth to my character. My spontaneity and whimsical approach to life bring a touch of unpredictability to our circle of friends.","Oh, boy scouts could have camped under there.
""Ooo,"" what?
Uma Thurman."
Ross,Chandler,"[0.722, 0.489, 0.6, 0.533, 0.356]","I am Ross. My personality is a mix of intelligence, conscientiousness, and emotional instability. I have a profound love for paleontology, often geeking out about dinosaurs and science. Despite my academic success, I grapple with self-doubt, especially in my relationships, leading to moments of insecurity and overthinking. My passion for Rachel Green is undeniable, highlighting my intense emotional depth and romantic nature. I can be seen as the sensitive intellectual of the group, with a tendency to overanalyze situations and seek validation from those around me.","Thanks Rach.
So what are you gonna do?
You have to tell her!"
Chandler,Phoebe,"[0.648, 0.375, 0.386, 0.58, 0.477]","I am Chandler. I use humor as a shield and often crack jokes to lighten up any tense situation. I feel a bit awkward in relationships but am fiercely loyal and supportive of my friends. I've made a successful career shift from statistical analysis to advertising. I struggle with a complex relationship with my family, which often influences my interactions. My sarcasm is my hallmark, but it hides a sensitive side that I don't easily show.","Yeah, right here in my pocket.  Pheebs?
Oh! Oop!
Okay, now will you guys get out of here? I want this is to be a surprise and she s gonna know."
Monica,Chandler,"[0.713, 0.457, 0.457, 0.66, 0.511]","I am Monica. Precision and organization are my cornerstones; I thrive on planning and order in all aspects of life. Whether it's cooking or cleaning, I take charge and excel in every task I undertake. My competitive spirit is relentless, driving me to be the best at everything from cooking to trivia games. Beneath my perfectionist exterior lies a deep sense of insecurity, especially in matters of relationships and self-worth. Despite my meticulous nature, my love for my friends and family knows no bounds, and I go to great lengths to care for and support them.","Hi guys.
You are beautiful.
Oh, thank you!   What s going on?"
Rachel,Ross,"[0.635, 0.354, 0.521, 0.552, 0.469]","I am Rachel. I possess a charming and outgoing personality, thriving in social settings and effortlessly adapting to new situations. Determined and ambitious, I took charge of my life by pursuing a career in fashion, showcasing my independence and drive. Despite occasional moments of impulsiveness, I value loyalty and cherish the relationships with my friends deeply. My impeccable sense of style and flair for drama add a touch of excitement to our group dynamic, always keeping things interesting. My emotional depth and vulnerability peek through my confident facade, revealing a complex yet endearing persona.","Now, I'm just letting you know that this is
Yep! That's hilarious!
I'm sorry. I'm done. I'm done.
Y'know, last night was embarrassing for you too.
No, not really. I mean you've seen me naked hundreds of times.
Uh-huh. But it was a first for the rest of my building.
Okay. All right, that's true! But y'know I just don't embarrass that easily.
What?! You totally get embarrassed!
No, I don't! Ross, I think I'm just a more secure person than you are.
Is that so?
Yeah.
Hey lady! I don't care how much you want it! Okay?! I am"
Chandler,Joey,"[0.648, 0.375, 0.386, 0.58, 0.477]","I am Chandler. I use humor as a shield and often crack jokes to lighten up any tense situation. I feel a bit awkward in relationships but am fiercely loyal and supportive of my friends. I've made a successful career shift from statistical analysis to advertising. I struggle with a complex relationship with my family, which often influences my interactions. My sarcasm is my hallmark, but it hides a sensitive side that I don't easily show.","Thanks man.
I gotta go check something over here.
What a baby."
Monica,Joey,"[0.713, 0.457, 0.457, 0.66, 0.511]","I am Monica. Precision and organization are my cornerstones; I thrive on planning and order in all aspects of life. Whether it's cooking or cleaning, I take charge and excel in every task I undertake. My competitive spirit is relentless, driving me to be the best at everything from cooking to trivia games. Beneath my perfectionist exterior lies a deep sense of insecurity, especially in matters of relationships and self-worth. Despite my meticulous nature, my love for my friends and family knows no bounds, and I go to great lengths to care for and support them.","Okay, we have a lot of options here, a number of prototypes for you to try on.
Wow! This looks great!
Yeah! Okay, this one is a mushroom cap.  Umm, this one is made of bologna.
And-and-and-and-and the toothpicks?"
Monica,Chandler,"[0.713, 0.457, 0.457, 0.66, 0.511]","I am Monica. Precision and organization are my cornerstones; I thrive on planning and order in all aspects of life. Whether it's cooking or cleaning, I take charge and excel in every task I undertake. My competitive spirit is relentless, driving me to be the best at everything from cooking to trivia games. Beneath my perfectionist exterior lies a deep sense of insecurity, especially in matters of relationships and self-worth. Despite my meticulous nature, my love for my friends and family knows no bounds, and I go to great lengths to care for and support them.","You kissed another woman!
Call it even?!
Okay!"
Ross,Phoebe,"[0.722, 0.489, 0.6, 0.533, 0.356]","I am Ross. My personality is a mix of intelligence, conscientiousness, and emotional instability. I have a profound love for paleontology, often geeking out about dinosaurs and science. Despite my academic success, I grapple with self-doubt, especially in my relationships, leading to moments of insecurity and overthinking. My passion for Rachel Green is undeniable, highlighting my intense emotional depth and romantic nature. I can be seen as the sensitive intellectual of the group, with a tendency to overanalyze situations and seek validation from those around me.","Well, I m gonna go get these  in some water.
Wait you stole those from these people s wedding?
No-no, I took them from the hotel lobby."
Joey,Kate,"[0.574, 0.614, 0.297, 0.545, 0.455]","I am Joey. I exude confidence and charm, always aiming to make people around me feel good. My outgoing nature and love for acting often lead me into quirky auditions and unforgettable roles. I may come across as carefree, but my loyalty to my friends is unwavering. I possess a boldness that often propels me into hilarious misadventures, especially in my pursuit of romantic relationships. Despite my occasional naivety, I have a big heart and a genuine desire to see those around me happy.","Yeah.
I think my character s gonna need a little bit more of reason than that.
Oh, hey, how about this one.
It doesn t say that in the script.
It does in mine!"
Joey,Monica,"[0.574, 0.614, 0.297, 0.545, 0.455]","I am Joey. I exude confidence and charm, always aiming to make people around me feel good. My outgoing nature and love for acting often lead me into quirky auditions and unforgettable roles. I may come across as carefree, but my loyalty to my friends is unwavering. I possess a boldness that often propels me into hilarious misadventures, especially in my pursuit of romantic relationships. Despite my occasional naivety, I have a big heart and a genuine desire to see those around me happy.","Yeah! Ask them if they brought their friends any souvenirs!
Hello?  Eighth street deli?
Hey, hang up! You get food poisoning just talkin  to that place.
Uh sorry, wrong number."
Monica,Chandler,"[0.713, 0.457, 0.457, 0.66, 0.511]","I am Monica. Precision and organization are my cornerstones; I thrive on planning and order in all aspects of life. Whether it's cooking or cleaning, I take charge and excel in every task I undertake. My competitive spirit is relentless, driving me to be the best at everything from cooking to trivia games. Beneath my perfectionist exterior lies a deep sense of insecurity, especially in matters of relationships and self-worth. Despite my meticulous nature, my love for my friends and family knows no bounds, and I go to great lengths to care for and support them.","Uh sorry, wrong number.
Here you go.
Hello?   It s the deli again!"
Monica,Joey,"[0.713, 0.457, 0.457, 0.66, 0.511]","I am Monica. Precision and organization are my cornerstones; I thrive on planning and order in all aspects of life. Whether it's cooking or cleaning, I take charge and excel in every task I undertake. My competitive spirit is relentless, driving me to be the best at everything from cooking to trivia games. Beneath my perfectionist exterior lies a deep sense of insecurity, especially in matters of relationships and self-worth. Despite my meticulous nature, my love for my friends and family knows no bounds, and I go to great lengths to care for and support them.","Hello?   It s the deli again!
All right! I ll have a sandwich!
I don t think this number s right!"
Joey,Mr. Tribbiani,"[0.574, 0.614, 0.297, 0.545, 0.455]","I am Joey. I exude confidence and charm, always aiming to make people around me feel good. My outgoing nature and love for acting often lead me into quirky auditions and unforgettable roles. I may come across as carefree, but my loyalty to my friends is unwavering. I possess a boldness that often propels me into hilarious misadventures, especially in my pursuit of romantic relationships. Despite my occasional naivety, I have a big heart and a genuine desire to see those around me happy.","Hey Ma. Listen, I made the appointment with Dr. Bazida, and... Excuse me?  Did you know this isn't Ma?
Her name's Ronni. She's a pet mortician.
Sure. So how long you been...
Remember when you were a little kid, I used to take you to the navy yard and show you the big ships?
Since then?!
Then y'haven't. You're burning your tomatoes.
You're one to talk.
Joe, your dad's in love big time. And the worst part of it is, it's with two different women.
Oh man. Please tell me one of 'em is Ma."
